#{"t_start": 1748049168.77931, "env_id": "None"}
r,l,t
1610.74217,2880,23.813787
1759.445037,2880,34.844453
2160.885918,2880,45.872751
2619.439404,2880,58.074649
2852.743849,2880,69.492175
3021.28759,2880,83.777628
2906.486513,2880,101.615535
3076.956545,2880,114.297003
2458.862985,2880,128.535355
3008.676335,2880,142.647833
2994.557356,2880,156.133733
2976.962138,2880,172.444052
3119.520256,2880,187.174703
3101.547693,2880,200.664038
3077.145336,2880,216.382806
2953.86535,2880,230.700692
2959.018239,2880,246.288987
2982.9262,2880,261.818907
2978.294125,2880,275.558592
2874.44409,2880,291.583079
3023.369642,2880,307.163908
3032.419823,2880,320.992585
3041.508479,2880,336.425191
3010.694853,2880,350.814386
3029.162518,2880,371.225031
2982.079631,2880,387.367848
3072.006312,2880,403.591995
3082.689207,2880,420.565896
3080.155179,2880,436.167929
3104.315059,2880,450.880891
3094.015359,2880,466.282203
3110.329409,2880,481.155361
3074.628516,2880,496.87465
3093.145621,2880,512.526415
3109.830108,2880,527.106054
3111.279069,2880,543.011836
3109.862714,2880,558.778159
3102.16163,2880,573.138105
3092.718044,2880,589.019271
3067.129097,2880,603.716972
3105.604039,2880,619.459534
3076.766266,2880,635.827884
3096.602553,2880,651.187965
3103.57535,2880,667.42202
3096.51863,2880,683.523714
3085.841331,2880,698.536966
3068.896289,2880,714.604607
3023.499004,2880,730.164474
3090.315345,2880,746.764654
3103.156313,2880,762.925529
3102.672973,2880,777.651516
3078.312589,2880,793.692975
3066.576149,2880,809.950846
3074.14006,2880,824.704279
3086.473652,2880,840.865356
3073.992243,2880,855.591919
3082.396184,2880,871.674029
3074.233843,2880,887.986178
3059.919858,2880,903.313272
3074.311564,2880,919.324805
3100.688909,2880,935.774379
3086.190195,2880,951.027015
3059.923486,2880,967.333026
3061.306328,2880,982.430581
3093.164388,2880,998.654352
3092.380299,2880,1014.835676
3051.137503,2880,1030.09664
3066.175957,2880,1046.44438
3033.010453,2880,1062.992841
2974.494844,2880,1078.355394
3010.559952,2880,1095.138545
3044.15853,2880,1110.257664
3016.539116,2880,1126.522474
2975.881828,2880,1143.379178
2931.430693,2880,1158.296796
2882.75419,2880,1174.772052
2955.363289,2880,1191.080596
2984.253604,2880,1206.43161
3018.635631,2880,1222.945661
3070.810071,2880,1238.894392
3033.823396,2880,1255.673327
3038.759657,2880,1272.892515
3026.461405,2880,1288.331499
3052.401559,2880,1305.331439
3079.1565,2880,1322.210744
3073.140928,2880,1339.807035
3081.429107,2880,1358.723586
3080.738656,2880,1374.748209
3117.164224,2880,1395.52232
3111.276077,2880,1413.559702
3120.544907,2880,1428.21388
3132.74323,2880,1447.522286
3118.55544,2880,1464.947612
3123.253692,2880,1481.077827
3115.338916,2880,1499.46198
3110.778853,2880,1516.091633
2987.672876,2880,1533.054831
3067.08267,2880,1550.357487
3095.168658,2880,1568.715944
3118.952027,2880,1586.968231
3105.064872,2880,1605.320613
3137.689504,2880,1619.943493
3143.215503,2880,1638.530868
3109.941986,2880,1654.813802
3110.399647,2880,1670.273105
3086.759954,2880,1687.149289
3112.712879,2880,1701.789699
3121.224031,2880,1716.953425
3130.940264,2880,1731.909335
3137.21941,2880,1745.470035
3131.839968,2880,1762.700385
3109.237072,2880,1778.626784
3115.09528,2880,1794.612419
3100.89103,2880,1810.622955
3100.1425,2880,1825.87148
3117.66395,2880,1843.787076
3131.108152,2880,1862.472612
3063.589179,2880,1875.381525
3105.332175,2880,1892.621702
3119.934532,2880,1908.248576
3126.646576,2880,1924.763573
3135.497858,2880,1940.224111
3122.054203,2880,1955.064878
3131.335767,2880,1968.701595
3119.632699,2880,1982.811282
3134.969576,2880,1994.853182
3127.034428,2880,2007.133277
3098.694833,2880,2018.904963
3117.988417,2880,2031.029471
3112.528878,2880,2042.112588
3106.226491,2880,2052.395808
3105.306033,2880,2063.401618
3099.869415,2880,2074.442108
3110.399463,2880,2084.774149
3076.275634,2880,2097.360705
3071.085303,2880,2107.543602
3048.52461,2880,2118.501183
3082.89529,2880,2129.473452
3086.158538,2880,2139.607194
3052.458229,2880,2150.373286
3083.545007,2880,2161.460769
3056.017916,2880,2171.730124
3056.132709,2880,2182.811946
3079.702917,2880,2192.971318
3095.705654,2880,2203.721938
3102.928954,2880,2214.568762
3114.432331,2880,2228.761997
3129.247303,2880,2240.637964
3130.808782,2880,2251.757322
3131.234001,2880,2262.253697
3125.491252,2880,2273.669742
3110.853815,2880,2284.021913
3119.640323,2880,2295.08912
3122.989545,2880,2306.200979
3124.131033,2880,2316.58217
3112.241992,2880,2327.586982
3125.403623,2880,2339.219782
3112.776011,2880,2349.32876
3121.254222,2880,2360.22155
3117.291143,2880,2370.332051
3121.753005,2880,2381.563435
3119.569557,2880,2392.610708
3089.77719,2880,2402.822372
3079.984267,2880,2413.795601
